file_date,tx_date,full_name,order_type,ticker,tx_estimate
2025-03-22,2025-03-06,Ashley Moody,Purchase,                                                                                                                                                                                                        ,100001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Purchase,                                                                                                                                                                                                        ,100001
2025-03-22,2025-02-24,Ashley Moody,Sale (Partial),                                                                                                                                                                                                        ,50001
2025-03-22,2025-02-24,Ashley Moody,Sale (Partial),                                                                                                                                                                                                        ,15001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,50001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Purchase,                                                                                                                                                                                                        ,1001
2025-03-22,2025-02-24,Ashley Moody,Purchase,                                                                                                                                                                                                        ,50001
2025-03-22,2025-02-20,Ashley Moody,Sale (Full),                                                                                                                                                                                                        ,1001
